STATEID,pop,rent_mean,hi_mean,hc_mortgage_mean,hc_mean,debt,hs_degree,mean_age,famliyType
2.0,12.01384700112769,30.545605764442247,44.84413688997307,46.603431030174505,47.80061029361081,73.92026750573746,77.51467659083762,28.812917683551024,2
2.0,9.674543022737407,56.80267505347316,58.11171826060466,51.925350388283434,40.006209824032716,76.95151458508572,92.25547751336617,32.210254833564434,2
2.0,4.990689989772101,19.243478033419112,26.365155599195255,47.17642260967902,26.616939488984627,79.57153390032919,85.94454345319215,29.36667368011111,2
2.0,15.5857438829299,30.722128728443483,30.89887874966833,37.80023619626806,38.15214949490901,68.18384788726544,93.90790439249398,26.143373845016534,2
2.0,14.261362146285176,30.145073884323782,33.2313667987899,41.60035905485693,37.29772386415638,75.90890681952709,84.19776706153685,20.712566134307494,2
2.0,15.354960530801709,21.36027039278856,25.626466913719693,36.936227622771305,27.795050299574665,62.90746336853693,81.7551630149911,27.433796309926866,2
2.0,19.519551021478588,23.47291918514839,25.841151580067255,35.324981303866146,41.17474201900965,70.47883111623416,83.821679421323,20.851749687896127,2
2.0,14.32692559859432,17.660212464448307,19.88706434931152,38.67036511142275,30.91651536863125,41.639926477460364,73.37116049900409,20.445816140232132,1
2.0,8.358028900369778,20.52692597685816,28.002250486472253,33.5226717385266,35.24428293840978,77.41570350062827,80.60069189642522,37.42884583490933,2
2.0,8.858933676011645,23.68638966840947,22.501568661939373,30.662648384701374,44.64902044201194,64.1754156411934,85.34568613062167,37.03552898412684,2
2.0,2.3235687498360913,16.79258409803052,25.748892994866228,56.03775995991328,40.04869898872484,55.25405775880869,84.49129887828913,38.383014992999684,2
2.0,9.768954394062574,31.526739187275883,44.69879467255101,51.92461318520435,50.945278544769494,50.78351350509362,95.62061012684767,47.67542693306594,2
2.0,12.900264876347329,22.055275103648096,26.900177968084023,31.206170076606565,37.6548352058458,63.67695774530879,89.86004822308419,32.452507042936055,1
2.0,13.010411476226691,22.51642430852801,46.97245434286547,53.10929780387957,44.74044484203514,63.105808072941,91.38143411259041,38.780505224939645,2
2.0,11.059243135506543,30.110959550409493,38.54419799177221,30.613375403704097,34.58910854559848,78.55800284536383,92.69839605828702,27.970627937490107,2
2.0,11.651936744381212,28.257988380777828,40.14185560781367,42.1426424303763,47.0094696020763,77.64935563932418,94.00618513471014,26.534240864020113,2
2.0,15.729983478010018,33.6394286448078,41.375677812516265,35.58551305403934,35.32434867448345,70.55359980061685,92.40355383163853,29.820172322833205,2
2.0,16.411843382025122,35.00971626066117,45.19424349341517,36.38166757908921,37.36104767171074,89.02146484314156,96.17491351294686,26.660366803926472,2
2.0,12.32592903411922,27.134989957000034,30.01634357828225,32.87993471784692,31.961172961363353,77.43751103357322,90.70788342593563,24.95591897174749,2
2.0,13.81553067058299,24.373130788244143,27.69753576819914,27.635584344275937,38.067532519588276,56.562509735505785,81.95696613900829,21.10815408268093,1
2.0,9.089717028139834,21.514424836795346,18.94148865213989,32.43962315900034,34.348760115256766,44.98582510358579,69.51593458433798,28.81587987292466,1
2.0,8.127245548241588,26.0276082969782,30.154028850569382,34.358838495603976,36.319559063018026,66.27101571180826,95.20783100953977,28.47889555757484,2
